match_id,team,total_xG,avg_shot_xG,shot_count,goals,conversion_rate,h_team,a_team,team_name
22213,Away,2.061,0.147214286,14,1,0.071428571,Tottenham,Nottingham Forest,Nottingham Forest
22213,Home,1.619,0.095235294,17,2,0.117647059,Tottenham,Nottingham Forest,Tottenham
22214,Away,1.141,0.103727273,11,2,0.181818182,Wolverhampton Wanderers,West Ham,West Ham
22214,Home,1.785,0.1275,14,1,0.071428571,Wolverhampton Wanderers,West Ham,Wolverhampton Wanderers
22215,Away,1.524,0.1905,8,2,0.25,Bournemouth,Manchester United,Manchester United
22215,Home,2.623,0.13115,20,2,0.1,Bournemouth,Manchester United,Bournemouth
22216,Away,0.93,0.084545455,11,2,0.181818182,Arsenal,Aston Villa,Aston Villa
22216,Home,1.988,0.110444444,18,0,0,Arsenal,Aston Villa,Arsenal
22217,Away,0.834,0.092666667,9,0,0,Brentford,Sheffield United,Sheffield United
22217,Home,1.091,0.121222222,9,1,0.111111111,Brentford,Sheffield United,Brentford
22218,Away,0.898,0.0449,20,0,0,Burnley,Brighton,Brighton
22218,Home,1.853,0.154416667,12,1,0.083333333,Burnley,Brighton,Burnley
22219,Away,1.218,0.1218,10,0,0,Chelsea,Everton,Everton
22219,Home,3.864,0.276,14,6,0.428571429,Chelsea,Everton,Chelsea
22220,Away,2.129,0.266125,8,1,0.125,Liverpool,Crystal Palace,Crystal Palace
22220,Home,3.055,0.14547619,21,0,0,Liverpool,Crystal Palace,Liverpool
22221,Away,0.81,0.162,5,1,0.2,Manchester City,Luton,Luton
22221,Home,4.75,0.128378378,37,4,0.108108108,Manchester City,Luton,Manchester City
22222,Away,0.737,0.067,11,0,0,Newcastle United,Tottenham,Tottenham
22222,Home,3.148,0.174888889,18,4,0.222222222,Newcastle United,Tottenham,Newcastle United
22223,Away,1.526,0.138727273,11,2,0.181818182,Nottingham Forest,Wolverhampton Wanderers,Wolverhampton Wanderers
22223,Home,1.761,0.097833333,18,2,0.111111111,Nottingham Forest,Wolverhampton Wanderers,Nottingham Forest
